Year,All marriages
1974,384389
1975,380620
1976,358567
1977,356954
1978,368258
1979,368853
1980,370022
1981,351973
1982,342166
1983,344334
1984,349186
1985,346389
1986,347924
1987,351761
1988,348492
1989,346697
1990,331150
1991,306756
1992,311564
1993,299197
1994,291069
1995,283012
1996,278975
1997,272536
1998,267303
1999,263515
2000,267961
2001,249227
2002,255596
2003,270109
2004,273069
2005,247805
2006,239454
2008,235794
2009,232443
2010,243808
2007,235367
2011,247890
