Week,Date,Retailer,Availability,Average Availability
20,41579,Asda,0.938,0.943
20,41579,Morrisons,0.821,0.928
20,41579,Sainsburys,1,0.973
20,41579,Tesco,0.97,0.955
20,41579,Waitrose,0.935,0.944
21,41586,Asda,0.909,0.941
21,41586,Morrisons,1,0.932
21,41586,Sainsburys,0.939,0.971
21,41586,Tesco,0.906,0.953
21,41586,Waitrose,0.909,0.943
22,41593,Asda,1,0.944
22,41593,Morrisons,0.97,0.933
22,41593,Sainsburys,1,0.973
22,41593,Tesco,0.939,0.952
22,41593,Waitrose,0.938,0.942
23,41600,Asda,0.97,0.945
23,41600,Morrisons,0.926,0.933
23,41600,Sainsburys,1,0.974
23,41600,Tesco,0.97,0.953
23,41600,Waitrose,0.969,0.944
24,41607,Asda,0.909,0.944
24,41607,Morrisons,0.8,0.928
24,41607,Sainsburys,0.97,0.974
24,41607,Tesco,0.967,0.954
24,41607,Waitrose,0.929,0.943
25,41614,Asda,0.87,0.941
25,41614,Morrisons,0.867,0.925
25,41614,Sainsburys,0.938,0.972
25,41614,Tesco,0.968,0.954
25,41614,Waitrose,0.906,0.942
26,41621,Asda,1,0.943
26,41621,Morrisons,1,0.928
26,41621,Sainsburys,0.906,0.97
26,41621,Tesco,0.97,0.955
26,41621,Waitrose,1,0.944
27,41628,Asda,0.935,0.943
27,41628,Morrisons,0.969,0.93
27,41628,Sainsburys,0.939,0.968
27,41628,Tesco,0.938,0.954
27,41628,Waitrose,0.938,0.944
28,41649,Asda,0.968,0.944
28,41649,Morrisons,1,0.932
28,41649,Sainsburys,1,0.97
28,41649,Tesco,0.969,0.955
28,41649,Waitrose,0.871,0.941
29,41656,Asda,0.931,0.943
29,41656,Morrisons,0.906,0.931
29,41656,Sainsburys,0.97,0.97
29,41656,Tesco,1,0.956
29,41656,Waitrose,0.871,0.939
30,41663,Asda,0.867,0.941
30,41663,Morrisons,1,0.933
30,41663,Sainsburys,0.97,0.97
30,41663,Tesco,0.909,0.955
30,41663,Waitrose,0.867,0.936
31,41670,Asda,0.97,0.942
31,41670,Morrisons,1,0.936
31,41670,Sainsburys,1,0.971
31,41670,Tesco,1,0.956
31,41670,Waitrose,0.903,0.935
32,41677,Asda,0.935,0.941
32,41677,Morrisons,0.969,0.937
32,41677,Sainsburys,0.906,0.969
32,41677,Tesco,0.963,0.956
32,41677,Waitrose,0.909,0.934
33,41684,Asda,0.939,0.941
33,41684,Morrisons,0.969,0.938
33,41684,Sainsburys,1,0.97
33,41684,Tesco,1,0.958
33,41684,Waitrose,1,0.936
34,41691,Asda,0.939,0.941
34,41691,Morrisons,0.968,0.939
34,41691,Sainsburys,0.969,0.97
34,41691,Tesco,0.909,0.956
34,41691,Waitrose,0.97,0.937
35,41698,Asda,1,0.943
35,41698,Morrisons,0.969,0.939
35,41698,Sainsburys,0.903,0.968
35,41698,Tesco,0.968,0.957
35,41698,Waitrose,0.968,0.938
36,41705,Asda,1,0.945
36,41705,Morrisons,0.935,0.939
36,41705,Sainsburys,1,0.969
36,41705,Tesco,1,0.958
36,41705,Waitrose,1,0.94
37,41712,Asda,0.88,0.943
37,41712,Morrisons,0.968,0.94
37,41712,Sainsburys,1,0.969
37,41712,Tesco,0.97,0.958
37,41712,Waitrose,0.938,0.94
38,41719,Asda,0.939,0.943
38,41719,Morrisons,0.969,0.941
38,41719,Sainsburys,1,0.97
38,41719,Tesco,0.933,0.958
38,41719,Waitrose,1,0.941
39,41726,Asda,0.897,0.942
39,41726,Morrisons,0.935,0.941
39,41726,Sainsburys,1,0.971
39,41726,Tesco,0.9,0.956
39,41726,Waitrose,0.903,0.94
40,41733,Asda,1,0.943
40,41733,Morrisons,0.968,0.941
40,41733,Sainsburys,1,0.972
40,41733,Tesco,0.97,0.956
40,41733,Waitrose,0.939,0.94
