Rank in 2014,Rank in 2013,Brand,Sales(m),Change(m),%Change
1,1,Coca-Cola,1192,34.3,3
2,2,Warburtons,755.7,47.9,6.8
3,3,Walkers,650.7,10.6,1.7
4,4,Birds Eye,569,7.5,1.3
5,5,Cadbury Dairy Milk,525.7,61.6,13.3
6,8,Kingsmill,422.2,30.2,7.7
7,7,Nescafe,416.6,9.9,2.4
8,9,Lucozade,407.7,20.2,5.2
9,11,Pepsi,362.8,9.9,2.8
10,10,Andrex,362.7,-15,-4
11,6,Hovis,358.9,-55.7,-13.4
12,12,Fairy,307.7,5.1,1.7
13,15,McCain,304.6,19.5,6.9
14,14,Lurpak,295.5,10.1,3.5
15,16,Robinsons,290.7,15.8,5.7
16,17,Tropicana,284.6,11.6,4.2
17,18,Princes,275.6,13.1,5
18,19,Cathedral City,269.4,12.8,5
19,13,Whiskas,265.4,-30.1,-10.2
20,23,Red Bull,252.4,16,6.8
21,22,Persil,241.7,-1,-0.4
22,20,Galaxy,230.9,-19,-7.6
23,29,Muller Corner,226,15.3,7.3
24,24,Heinz Soup,225.8,-8.2,-3.5
25,27,Felix,224,9.1,4.3
26,33,Cadbury,221.1,20.8,10.4
27,26,Heinz Beanz,219.7,-7,-3.1
28,25,Activa,218.6,-13.6,-5.9
29,28,Innocent,216.5,2.9,1.3
30,30,Pedigree,204.4,-1,-0.5
31,35,Extra,198.7,11,5.8
32,21,WeightWatchers,197.2,-48.9,-19.9
33,37,Aunt Bessie's,194.4,9.3,5
34,36,Heinz sauces,190.5,5.2,2.8
35,31,Kit Kat,190.5,-11.1,-5.5
36,42,Malteasters,187.7,33.8,21.9
37,34,Ariel,184.6,-6.1,-3.2
38,32,Flora,178.2,23.2,-11.5
39,39,Doritos,176.7,13.4,8.2
40,48,Pringles,167.2,20.1,13.6
41,49,Mullerlight,164,20.4,14.2
42,38,John West,160.6,-11.1,-6.5
43,46,Ribena,159.7,8.5,5.6
44,45,Cravendale,158.8,7,4.6
45,60,Volvic,157.1,24.3,18.3
46,40,Mr Kipling,156.8,-5.4,-3.3
47,43,Dolmio,153,0,0
48,44,Napolina,151.9,-1,-0.6
49,41,PG Tips,149.3,-6,-3.9
50,54,Richmond,148.3,11,8
51,53,Comfort,147.5,9.8,7.1
52,55,Special K,146.8,9.6,7
53,47,Weetabix,146.7,-3,-2
54,66,McVitie's Digestives,145.2,17.2,13.4
55,51,Velvet,145,2.1,1.5
56,52,Schweppes,140.6,2.5,1.8
57,58,Young's,140.6,5.4,4
58,57,Finish,137.9,2.3,1.7
59,59,Magnum,137.7,16,13.1
60,61,Lenor,135.2,4.3,3.3
61,59,Uncle Ben's,134.4,-0.2,-0.2
62,70,Fanta,130.1,13.4,11.5
63,56,Bold,127.9,-7.7,-5.7
64,63,Kenco,127.3,-2.4,-1.8
65,67,Surf,126.5,0.1,0.1
66,68,Bakers,125.5,2.4,1.9
67,65,Mars,124.3,-3.8,-2.9
68,64,Duracell,123.7,-5,-3.9
69,50,Silver Spoon,123.4,-20.1,-14
70,82,Quaker Oats,123.2,18.4,17.6
71,74,Haribo,121.2,8.7,7.7
72,71,Anchor,119.5,3.7,3.2
73,85,Yeo Valley Organic,118.6,15.2,14.7
74,86,Evian,117.3,14.3,13.8
75,76,Hellmann's,116.7,4.5,4
76,62,Tetley,114.1,-15.9,-12.2
77,75,Tate & Lyle,113.4,0.9,0.8
78,77,Kleenex,112.4,0.3,0.3
79,73,Philadelphia,109.9,-4.4,-3.8
80,83,Dairylea,108.4,4.1,4
81,79,Air Wick,108.3,-3.4,-3.1
82,80,Wiseman,107.8,-1.5,-1.3
83,78,McCoy's,106.4,-5.7,-5.1
84,87,Rowntree's,103.9,1.8,1.8
85,94,Twinings,103.4,9,9.6
86,81,Chicago Town,103.3,-1.6,-1.6
87,88,Irn Bru,103.1,1.3,1.3
88,92,Kettle,102.5,5.9,6.1
89,84,Ginsters,98.7,-5.5,-5.3
90,95,Pot Noodle,96.2,3.8,4.1
91,114,Monster Energy,95.8,17.9,23.1
92,93,Pizza Express,95.5,0.1,0.1
93,91,Clover,94.8,-3.9,-3.9
94,107,Kellogg's Crunchy Nut,90.7,8.6,10.5
95,100,Snickers,90.3,2.2,2.5
96,97,Hula Hoops,89.8,-1.4,-1.5
97,108,Old El Paso,89.7,8.1,9.9
98,99,Capri-Sun,89.5,-1.2,-1.3
99,102,Dr Pepper,89.3,4.1,4.8
100,110,Alpro,89.1,9.8,12.3
