Main,Occupation,Age,Male,Female
Elementary occupations,Elementary administration and service occupations,18-21,8139,5271
Elementary occupations,Elementary administration and service occupations,22-29,14706,9862
Elementary occupations,Elementary administration and service occupations,30-39,17762,7837
Elementary occupations,Elementary administration and service occupations,40-49,19455,7410
Elementary occupations,Elementary administration and service occupations,50-59,19148,7819
Elementary occupations,Elementary administration and service occupations,60+,15501,5669
Elementary occupations,Elementary trades and related occupations,18-21,15059,
Elementary occupations,Elementary trades and related occupations,22-29,17748,15883
Elementary occupations,Elementary trades and related occupations,30-39,19087,14728
Elementary occupations,Elementary trades and related occupations,40-49,20675,14953
Elementary occupations,Elementary trades and related occupations,50-59,20523,14555
Elementary occupations,Elementary trades and related occupations,60+,18705,13156
