Occupation,Age,Male,Female
Administrative and secretarial occupations,18-21,13265,12183
Administrative and secretarial occupations,22-29,18994,17492
Administrative and secretarial occupations,30-39,23127,17595
Administrative and secretarial occupations,40-49,25156,17216
Administrative and secretarial occupations,50-59,24830,17353
Administrative and secretarial occupations,60+,17626,12779
ALL OCCUPATIONS,22-29,21088,17098
ALL OCCUPATIONS,30-39,29085,20369
ALL OCCUPATIONS,40-49,32443,18942
ALL OCCUPATIONS,50-59,30992,17710
ALL OCCUPATIONS,60+,22977,12191
Associate professional and technical occupations,18-21,,13743
Associate professional and technical occupations,22-29,26034,23812
Associate professional and technical occupations,30-39,32965,26690
Associate professional and technical occupations,40-49,36982,26514
Associate professional and technical occupations,50-59,36041,24577
Associate professional and technical occupations,60+,27500,20084
"Caring, leisure and other service occupations",18-21,7723,10390
"Caring, leisure and other service occupations",22-29,15305,12748
"Caring, leisure and other service occupations",30-39,17801,11948
"Caring, leisure and other service occupations",40-49,18715,12584
"Caring, leisure and other service occupations",50-59,19137,13185
"Caring, leisure and other service occupations",60+,15118,11442
Elementary occupations,18-21,8916,5479
Elementary occupations,22-29,15451,10259
Elementary occupations,30-39,18038,8312
Elementary occupations,40-49,19784,7754
Elementary occupations,50-59,19419,8204
Elementary occupations,60+,16089,5902
"Managers, directors and senior officials",18-21,,15277
"Managers, directors and senior officials",22-29,25063,22086
"Managers, directors and senior officials",30-39,39640,33120
"Managers, directors and senior officials",40-49,47212,35241
"Managers, directors and senior officials",50-59,46590,32002
"Managers, directors and senior officials",60+,35275,20040
"Process, plant and machine operatives",18-21,15137,13210
"Process, plant and machine operatives",22-29,20653,16315
"Process, plant and machine operatives",30-39,23567,15878
"Process, plant and machine operatives",40-49,25462,16003
"Process, plant and machine operatives",50-59,24270,15995
"Process, plant and machine operatives",60+,19521,13672
Professional occupations,18-21,16233,11958
Professional occupations,22-29,29201,26848
Professional occupations,30-39,38418,30602
Professional occupations,40-49,42786,31648
Professional occupations,50-59,41422,32335
Professional occupations,60+,34547,22405
Sales and customer service occupations,18-21,7057,5834
Sales and customer service occupations,22-29,14534,11655
Sales and customer service occupations,30-39,17715,11149
Sales and customer service occupations,40-49,18472,11325
Sales and customer service occupations,50-59,17657,10541
Sales and customer service occupations,60+,11993,7648
Skilled trades occupations,18-21,15891,
Skilled trades occupations,22-29,22559,15604
Skilled trades occupations,30-39,25439,16784
Skilled trades occupations,40-49,27300,13777
Skilled trades occupations,50-59,27973,14722
Skilled trades occupations,60+,24569,13163
